EIN,Organization Name,Organization Incorporation Date,Location State,Location County,Location Name,Location Type,Location Open Date,Location Close Date,Location City,Location Zip Code,Record Year,Record Month,Stray At Large Canine Adult,Stray At Large Canine Up to 5 Months,Stray At Large Canine Age Unknown,Stray At Large Feline Adult,Stray At Large Feline Up to 5 Months,Stray At Large Feline Age Unknown,Relinquished By Owner Canine Adult,Relinquished By Owner Canine Up to 5 Months,Relinquished By Owner Canine Age Unknown,Relinquished By Owner Feline Adult,Relinquished By Owner Feline Up to 5 Months,Relinquished By Owner Feline Age Unknown,Intake Owner-Intended Euthanasia Canine Adult,Intake Owner-Intended Euthanasia Canine Up to 5 Months,Intake Owner-Intended Euthanasia Canine Age Unknown,Intake Owner-Intended Euthanasia Feline Adult,Intake Owner-Intended Euthanasia Feline Up to 5 Months,Intake Owner-Intended Euthanasia Feline Age Unknown,Transferred In From Agency Canine Adult,Transferred In From Agency Canine Up to 5 Months,Transferred In From Agency Canine Age Unknown,Transferred In From Agency Feline Adult,Transferred In From Agency Feline Up to 5 Months,Transferred In From Agency Feline Age Unknown,Other Intakes Canine Adult,Other Intakes Canine Up to 5 Months,Other Intakes Canine Age Unknown,Other Intakes Feline Adult,Other Intakes Feline Up to 5 Months,Other Intakes Feline Age Unknown,Adoption Canine Adult,Adoption Canine Up to 5 Months,Adoption Canine Age Unknown,Adoption Feline Adult,Adoption Feline Up to 5 Months,Adoption Feline Age Unknown,Returned To Owner Canine Adult,Returned To Owner Canine Up to 5 Months,Returned To Owner Canine Age Unknown,Returned To Owner Feline Adult,Returned To Owner Feline Up to 5 Months,Returned To Owner Feline Age Unknown,Transfer To Another Agency Canine Adult,Transfer To Another Agency Canine Up to 5 Months,Transfer To Another Agency Canine Age Unknown,Transfer To Another Agency Feline Adult,Transfer To Another Agency Feline Up to 5 Months,Transfer To Another Agency Feline Age Unknown,Returned To Field Canine Adult,Returned To Field Canine Up to 5 Months,Returned To Field Canine Age Unknown,Returned To Field Feline Adult,Returned To Field Feline Up to 5 Months,Returned To Field Feline Age Unknown,Other Live Outcome Canine Adult,Other Live Outcome Canine Up to 5 Months,Other Live Outcome Canine Age Unknown,Other Live Outcome Feline Adult,Other Live Outcome Feline Up to 5 Months,Other Live Outcome Feline Age Unknown,Died In Care Canine Adult,Died In Care Canine Up to 5 Months,Died In Care Canine Age Unknown,Died In Care Feline Adult,Died In Care Feline Up to 5 Months,Died In Care Feline Age Unknown,Lost In Care Canine Adult,Lost In Care Canine Up to 5 Months,Lost In Care Canine Age Unknown,Lost In Care Feline Adult,Lost In Care Feline Up to 5 Months,Lost In Care Feline Age Unknown,Shelter Euthanasia Canine Adult,Shelter Euthanasia Canine Up to 5 Months,Shelter Euthanasia Canine Age Unknown,Shelter Euthanasia Feline Adult,Shelter Euthanasia Feline Up to 5 Months,Shelter Euthanasia Feline Age Unknown,Outcome Owner-Intended Euthanasia Canine Adult,Outcome Owner-Intended Euthanasia Canine Up to 5 Months,Outcome Owner-Intended Euthanasia Canine Age Unknown,Outcome Owner-Intended Euthanasia Feline Adult,Outcome Owner-Intended Euthanasia Feline Up to 5 Months,Outcome Owner-Intended Euthanasia Feline Age Unknown,Beginning Total Canine,Beginning Total Feline,Ending Total Canine,Ending Total Feline
27-0269094,"Spay Neuter Assistance Program, Inc. d/b/a SNAP 2 It",5/1/2009 12:00:00 AM,GA,Gwinnett County,"Spay Neuter Assistance Program, Inc. d/b/a SNAP 2 It","Rescue, Private",5/1/2009 12:00:00 AM,,DACULA,30019,2011,10,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,109,3,108
48-0554339,Kansas Humane Society of Wichita,1/1/1888 12:00:00 AM,KS,Sedgwick County,Kansas Humane Society of Wichita,"Shelter, Private",1/1/1888 12:00:00 AM,,WICHITA,67219,2012,9,0,0,0,0,0,0,223,63,3,228,220,38,34,0,0,10,1,2,192,36,0,29,17,1,0,0,0,0,4,0,284,102,0,128,103,0,19,0,0,26,27,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,115,7,3,120,101,38,21,0,0,9,1,2,142,213,129,205
27-1357894,"Miss Kitty Feline Sanctuary, Inc",,GA,Thomas County,"Miss Kitty Feline Sanctuary, Inc","Shelter, Private",,,THOMASVILLE,31792,2011,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,585
16-0743092,Niagara County SPCA,3/1/1894 12:00:00 AM,NY,Niagara County,Niagara County SPCA,"Shelter, Government Contract",3/1/1894 12:00:00 AM,,NIAGARA FALLS,14304,2011,11,36,5,18,27,35,103,11,2,1,12,2,9,16,0,0,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,10,1,15,27,0,21,1,6,3,0,1,2,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,20,0,16,26,9,109,0,0,0,0,0,0,95,230,89,231
27-0873889,Canine Soulmates Rescue,,TX,Tarrant County,Canine Soulmates Rescue,"Rescue, Private",,,GRAPEVINE,76051,2011,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82-6000250,Rexburg Animal Shelter,1/1/1970 12:00:00 AM,ID,Madison County,Rexburg Animal Shelter,Government Animal Services,1/1/1970 12:00:00 AM,,REXBURG,83440,2012,4,9,11,1,6,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,2,0,0,16,12,16,16
58-1342479,Humane Society of Charlotte,7/1/1978 12:00:00 AM,NC,Mecklenburg County,Humane Society of Charlotte,"Shelter, Private",7/1/1978 12:00:00 AM,,CHARLOTTE,28203,2012,6,1,0,0,0,0,0,29,11,0,4,18,0,1,0,0,0,0,0,0,0,0,0,0,0,8,4,0,1,0,0,39,14,0,4,36,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,45,64,41,47
37-1470493,Bond County Humane Society,8/1/2003 12:00:00 AM,IL,Bond County,Bond County Humane Society,"Shelter, Private",8/1/2003 12:00:00 AM,,GREENVILLE,62246,2012,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,60,11,60
58-6074088,"PAWS Atlanta, Inc.",1/1/1964 12:00:00 AM,GA,DeKalb County,"PAWS Atlanta, Inc.","Rescue, Private",1/1/1964 12:00:00 AM,,DECATUR,30035,2011,11,1,0,0,0,1,0,8,0,0,2,1,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,13,6,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,49,0,0
39-1189598,Humane Society of Portage County,4/1/1970 12:00:00 AM,WI,Portage County,Humane Society of Portage County,"Shelter, Government Contract",4/1/1970 12:00:00 AM,,PLOVER,54467,2012,6,0,0,43,0,0,60,0,0,22,0,0,33,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,17,0,0,48,0,0,23,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,14,132,38,159
88-0144253,The Animal Foundation,3/1/1978 12:00:00 AM,NV,Clark County,The Animal Foundation,"Shelter, Government Contract",3/1/1978 12:00:00 AM,,LAS VEGAS,89101,2011,7,1261,168,32,401,814,269,376,61,0,148,42,11,118,4,5,49,0,0,0,0,0,0,0,0,163,50,4,36,33,23,544,122,1,101,153,0,358,12,3,38,3,2,90,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,4,0,1,0,0,0,0,898,38,34,509,641,305,120,4,5,49,0,0,746,397,750,417
23-7361482,Humane Society of Dallas County,5/1/1983 12:00:00 AM,TX,Dallas County,Humane Society of Dallas County,"Shelter, Private",5/1/1983 12:00:00 AM,,DALLAS,75235,2011,12,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,8,0,2,0,0,3,11,0,5,0,0,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,150,18,140
26-4014748,Tenth Life Cat Rescue,1/1/2009 12:00:00 AM,MO,Saint Louis City,Tenth Life Cat Rescue,"Rescue, Private",1/1/2009 12:00:00 AM,,ST. LOUIS,63118,2012,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,68
20-1658195,Humane Society of Wickenburg,1/1/2005 12:00:00 AM,AZ,Maricopa County,Humane Society of Wickenburg,"Shelter, Private",1/1/2005 12:00:00 AM,,WICKENBURG,85390,2012,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,18,13
59-0530990,"Halifax Humane Society, Inc.",2/1/1937 12:00:00 AM,FL,Volusia County,"Halifax Humane Society, Inc.","Shelter, Government Contract",2/1/1937 12:00:00 AM,,DAYTONA BEACH,32124,2012,6,165,18,21,174,432,76,136,15,0,111,76,2,30,0,0,36,12,1,1,0,0,0,0,0,5,1,1,5,13,0,190,18,0,46,48,0,43,1,11,8,0,3,8,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,0,0,0,0,0,0,0,115,2,16,284,389,70,0,0,0,0,0,0,187,225,168,297
59-0530990,"Halifax Humane Society, Inc.",2/1/1937 12:00:00 AM,FL,Volusia County,"Halifax Humane Society, Inc.","Shelter, Government Contract",2/1/1937 12:00:00 AM,,DAYTONA BEACH,32124,2012,4,156,22,15,206,240,72,138,25,0,104,79,10,46,0,9,28,9,4,0,0,0,0,0,0,4,0,0,0,0,0,165,41,0,65,45,0,44,1,8,10,0,0,15,0,0,12,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,114,6,19,269,211,81,0,0,0,0,0,0,173,160,173,189
20-1658195,Humane Society of Wickenburg,1/1/2005 12:00:00 AM,AZ,Maricopa County,Humane Society of Wickenburg,"Shelter, Private",1/1/2005 12:00:00 AM,,WICKENBURG,85390,2011,3,1,0,0,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,25,7
94-6000509,Contra Costa County Animal Services,7/1/1985 12:00:00 AM,CA,Contra Costa County,Contra Costa County Animal Services,Government Animal Services,7/1/1985 12:00:00 AM,,MARTINEZ,94553,2012,10,411,72,2,176,192,19,89,27,0,57,7,0,3,0,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0,0,151,65,0,78,133,6,134,2,0,13,0,1,25,18,0,28,29,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,1,0,0,213,33,1,134,67,15,3,0,0,7,0,0,236,304,221,263
27-0873889,Canine Soulmates Rescue,,TX,Tarrant County,Canine Soulmates Rescue,"Rescue, Private",,,GRAPEVINE,76051,2011,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-5293643,Wagging Dog Rescue,4/1/2012 12:00:00 AM,CA,San Diego County,Wagging Dog Rescue,"Rescue, Private",4/1/2012 12:00:00 AM,,CARLSBAD,92013,2011,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
14-1999592,Refurbished Pets of Southern Michigan,11/1/2007 12:00:00 AM,MI,Branch County,Refurbished Pets of Southern Michigan,"Rescue, Private",11/1/2007 12:00:00 AM,,COLDWATER,49036,2012,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
82-3255528,TNR A Better Chance dba Kitten Division Adoption Center,1/1/2011 12:00:00 AM,MO,Pulaski County,TNR A Better Chance dba Kitten Division Adoption Center,"Shelter, Private",1/1/2011 12:00:00 AM,,SAINT ROBERT,65584,2012,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,47
39-1030012,Neenah Animal Shelter,1/1/1962 12:00:00 AM,WI,Winnebago County,Neenah Animal Shelter,"Shelter, Private",1/1/1962 12:00:00 AM,,NEENAH,54956,2011,1,4,0,1,5,0,2,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,27,6,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,68,7,43
27-0873889,Canine Soulmates Rescue,,TX,Tarrant County,Canine Soulmates Rescue,"Rescue, Private",,,GRAPEVINE,76051,2011,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-7148054,Hi Tor Animal Care Center,4/1/1971 12:00:00 AM,NY,Rockland County,Hi Tor Animal Care Center,"Shelter, Government Contract",4/1/1971 12:00:00 AM,,POMONA,10970,2011,12,30,2,0,13,10,4,20,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,0,0,24,12,0,23,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,2,10,0,0,0,0,0,0,0,68,182,67,154
27-1940144,Meade Canine Rescue Foundation,4/1/2010 12:00:00 AM,CA,San Luis Obispo County,Meade Canine Rescue Foundation,"Rescue, Private",4/1/2010 12:00:00 AM,,CRESTON,93432,2012,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,2
45-4406087,"DOGGONEEXPRESS, INC",6/1/2009 12:00:00 AM,LA,Washington Parish,"DOGGONEEXPRESS, INC","Rescue, Private",6/1/2009 12:00:00 AM,,MT HERMON,70450,2012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
59-0826963,Bishop Animal Shelter SPCA of Manatee County FL,6/1/1958 12:00:00 AM,FL,Manatee County,Bishop Animal Shelter SPCA of Manatee County FL,"Shelter, Private",6/1/1958 12:00:00 AM,,BRADENTON,34209,2012,5,0,0,17,0,0,21,0,0,37,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,31,0,0,10,0,0,7,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,67,146,64,134
45-5293643,Wagging Dog Rescue,4/1/2012 12:00:00 AM,CA,San Diego County,Wagging Dog Rescue,"Rescue, Private",4/1/2012 12:00:00 AM,,CARLSBAD,92013,2012,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0
59-6000661,Hillsborough County Pet Resource Center,,FL,Hillsborough County,Hillsborough County Pet Resource Center,Government Animal Services,,,TAMPA,33619,2011,8,0,0,740,0,0,818,0,0,174,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,2,0,0,232,0,0,107,0,0,86,0,0,1,0,0,107,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,11,0,0,0,0,0,0,0,0,505,0,0,717,0,0,0,0,0,0,0,0,0,0
23-7361482,Humane Society of Dallas County,5/1/1983 12:00:00 AM,TX,Dallas County,Humane Society of Dallas County,"Shelter, Private",5/1/1983 12:00:00 AM,,DALLAS,75235,2011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,3,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,161,21,150
27-1357894,"Miss Kitty Feline Sanctuary, Inc",,GA,Thomas County,"Miss Kitty Feline Sanctuary, Inc","Shelter, Private",,,THOMASVILLE,31792,2012,2,0,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,78
27-0727370,Angels On Wheels Animal Rescue NFP,3/1/2009 12:00:00 AM,IL,Will County,Angels On Wheels Animal Rescue NFP,"Rescue, Private",3/1/2009 12:00:00 AM,,NAPERVILLE,60567,2012,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93-0574297,Heartland Humane Society,6/1/1966 12:00:00 AM,OR,Benton County,Heartland Humane Society,"Shelter, Government Contract",6/1/1966 12:00:00 AM,,CORVALLIS,97333,2012,8,22,1,5,24,27,8,9,0,0,14,14,1,1,0,4,0,0,2,7,0,0,0,0,0,0,0,1,0,0,0,9,3,0,23,48,0,18,0,5,8,2,3,1,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,4,4,6,1,0,4,0,0,2,27,157,32,120
59-0530990,"Halifax Humane Society, Inc.",2/1/1937 12:00:00 AM,FL,Volusia County,"Halifax Humane Society, Inc.","Shelter, Government Contract",2/1/1937 12:00:00 AM,,DAYTONA BEACH,32124,2012,12,161,18,7,210,135,33,146,5,0,98,57,3,39,0,2,36,3,1,2,0,0,0,0,0,2,0,0,0,8,0,171,25,0,106,92,0,57,3,6,3,1,2,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,85,1,3,299,132,31,0,0,0,0,0,0,151,297,172,207
27-0873889,Canine Soulmates Rescue,,TX,Tarrant County,Canine Soulmates Rescue,"Rescue, Private",,,GRAPEVINE,76051,2012,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59-6000501,Alachua County Animal Services,7/1/1959 12:00:00 AM,FL,Alachua County,Alachua County Animal Services,Government Animal Services,7/1/1959 12:00:00 AM,,GAINESVILLE,32609,2011,4,105,68,24,47,91,71,50,9,15,36,3,6,4,0,0,4,0,1,2,0,0,0,0,0,7,2,8,3,2,3,28,22,1,13,0,0,39,0,9,6,1,5,64,45,17,17,63,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,50,3,17,23,0,28,4,0,0,4,0,1,118,32,110,96
77-0540565,Valley Animal Center,6/1/1992 12:00:00 AM,CA,Fresno County,Valley Animal Center,"Shelter, Private",6/1/1992 12:00:00 AM,,FRESNO,93726,2011,12,0,0,0,7,2,0,7,6,0,5,6,0,0,0,0,0,0,0,17,10,1,7,8,2,0,0,0,0,0,0,28,7,0,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,83,337,86,316
61-1440813,King Street Cats,1/1/2003 12:00:00 AM,VA,Alexandria City,King Street Cats,"Rescue, Private",1/1/2003 12:00:00 AM,,ALEXANDRIA,22314,2012,6,0,0,0,0,24,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,154
87-0362454,WEST VALLEY CITY ANIMAL SHELTER,,UT,Salt Lake County,WEST VALLEY CITY ANIMAL SHELTER,Government Animal Services,,,WEST VALLEY CITY,84120,2012,11,122,6,3,49,30,11,3,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,16,0,1,22,0,3,35,2,0,30,32,0,61,2,3,10,0,0,36,2,0,4,5,0,0,0,0,10,3,14,6,0,1,21,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,10,12,0,6,0,1,2,0,0,85,175,81,134
81-0290933,Humane Society of Western Montana,1/1/1963 12:00:00 AM,MT,Missoula County,Humane Society of Western Montana,"Shelter, Private",1/1/1963 12:00:00 AM,,MISSOULA,59804,2012,11,9,0,2,8,1,0,16,1,0,10,14,0,0,0,0,0,0,0,29,1,2,6,0,0,0,0,0,0,0,0,39,13,1,32,28,0,8,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,84,47,58
58-6074088,"PAWS Atlanta, Inc.",1/1/1964 12:00:00 AM,GA,DeKalb County,"PAWS Atlanta, Inc.","Rescue, Private",1/1/1964 12:00:00 AM,,DECATUR,30035,2011,12,2,0,0,0,0,0,10,1,1,0,1,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,16,4,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,55,50,0,0
62-6018662,Oak Ridge Animal Shelter,2/1/1975 12:00:00 AM,TN,Anderson County,Oak Ridge Animal Shelter,Government Animal Services,2/1/1975 12:00:00 AM,,OAK RIDGE,37830,2012,5,55,45,0,59,57,0,31,6,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,7,0,6,8,0,24,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,28,0,86,50,0,0,0,0,1,1,0,41,30,62,59
82-3255528,TNR A Better Chance dba Kitten Division Adoption Center,1/1/2011 12:00:00 AM,MO,Pulaski County,TNR A Better Chance dba Kitten Division Adoption Center,"Shelter, Private",1/1/2011 12:00:00 AM,,SAINT ROBERT,65584,2011,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
72-6000179,Bossier City Animal Control,1/1/1980 12:00:00 AM,LA,Bossier Parish,Bossier City Animal Control,Government Animal Services,1/1/1980 12:00:00 AM,,BOSSIER CITY,71111,2012,10,132,0,0,148,0,0,60,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,46,0,0,38,0,0,3,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,107,0,0,215,0,0,7,0,0,24,0,0,150,166,111,167
